,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
73,827.0,-3.2662999999999998,154.8383,-261.6322,-0.2919199999999999,0.15502,0.0513179999999999,0.9424,-28.319899999999997,132.5627,-283.0955,-0.472159,-0.140223,0.09707,-0.864859,20.913899999999998,128.6486,-283.4493,-0.4260609999999999,0.042883,-0.071799,-0.900821
74,838.0,-3.4025,154.7426,-261.5814,-0.294953,0.160603,0.051914,0.940486,-28.9356,132.5706,-282.9705,-0.467259,-0.160764,0.098732,-0.863757,20.9233,128.5523,-283.4176,-0.425081,0.041581,-0.073155,-0.901236
75,849.0,-3.5317000000000003,154.6394,-261.5419,-0.297725,0.166048,0.0524009999999999,0.938639,-29.5385,132.5403,-282.8184,-0.461362,-0.179309,0.102575,-0.862828,20.933,128.4364,-283.3959,-0.423454,0.040173,-0.074159,-0.901983
76,860.0,-3.65819999999999,154.5275,-261.512,-0.30069,0.170879,0.053014,0.93679,-30.068499999999997,132.4924,-282.68919999999997,-0.454736,-0.19639,0.1071829999999999,-0.862066,20.95989999999999,128.2928,-283.3968,-0.420956,0.038978,-0.074773,-0.903154
77,871.0,-3.7693,154.4125,-261.4698,-0.304015,0.175285,0.053471,0.934875,-30.54489999999999,132.44389999999999,-282.5289,-0.4501779999999999,-0.210004,0.1103359999999999,-0.860851,20.985799999999998,128.1609,-283.39029999999997,-0.418626,0.037917,-0.07585,-0.904191
78,883.0,-3.8747999999999996,154.2851,-261.42850000000004,-0.307635,0.179451,0.054034,0.932866,-30.982599999999998,132.40120000000002,-282.3585,-0.447081,-0.221881,0.1121109999999999,-0.8592549999999999,21.035,127.9775,-283.4117,-0.4150149999999999,0.03733,-0.076194,-0.90585
79,894.0,-3.9623,154.1522,-261.3856,-0.311864,0.18298,0.054748,0.930732,-31.322100000000002,132.3674,-282.159,-0.446051,-0.2285199999999999,0.1132359999999999,-0.857901,21.0817,127.8019,-283.4266,-0.41192,0.036598,-0.076607,-0.907256
80,905.0,-4.0458,154.0077,-261.3444,-0.316152,0.186265,0.0556809999999999,0.928576,-31.578400000000002,132.3096,-281.991,-0.444256,-0.232836,0.116169,-0.8572799999999999,21.1534,127.58940000000001,-283.4606,-0.408202,0.036338,-0.0760769999999999,-0.90899
81,916.0,-4.1113,153.8472,-261.31039999999996,-0.3210139999999999,0.1889009999999999,0.056782,0.926306,-31.747700000000002,132.2225,-281.86379999999997,-0.441826,-0.234257,0.120473,-0.857555,21.2475,127.35849999999999,-283.4987,-0.404368,0.036556,-0.075474,-0.910744
82,927.0,-4.178599999999999,153.6781,-261.2844,-0.325882,0.191068,0.0579649999999999,0.924086,-31.895,132.1174,-281.76779999999997,-0.4374159999999999,-0.23579,0.125886,-0.858617,21.3252,127.1467,-283.5266,-0.4007949999999999,0.0365589999999999,-0.075333,-0.912333
83,938.0,-4.2371,153.49630000000002,-261.2624,-0.330993,0.192882,0.059092,0.921818,-31.986199999999997,131.977,-281.719,-0.4312859999999999,-0.236445,0.1320059999999999,-0.8606159999999999,21.4292,126.9024,-283.5783,-0.396638,0.037649,-0.07506,-0.914126
84,949.0,-4.2806999999999995,153.2945,-261.249,-0.336281,0.194056,0.060278,0.919578,-32.1196,131.845,-281.64889999999997,-0.425139,-0.23814,0.13701,-0.862424,21.51199999999999,126.67790000000001,-283.6203,-0.392852,0.038175,-0.075196,-0.915727
85,961.0,-4.3142,153.0643,-261.2468,-0.342117,0.194649,0.061463,0.917219,-32.15369999999999,131.6581,-281.64290000000005,-0.417443,-0.2367389999999999,0.141509,-0.865836,21.6177,126.4469,-283.6643,-0.388648,0.039927,-0.076039,-0.917375
86,972.0,-4.3374999999999995,152.8174,-261.2468,-0.347969,0.194898,0.062791,0.914872,-32.1984,131.49439999999998,-281.6051,-0.411018,-0.234002,0.141537,-0.869641,21.7321,126.22119999999998,-283.698,-0.38413,0.041661,-0.077582,-0.91907
