delta_time_ms,delta_time_s,head_pos_x,head_pos_y,head_pos_z,head_rot_w,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_w,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_w,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z
1231.399999999894,1.231399999999894,-5.6568380000000005,151.1138,-267.0631,-0.9967855,-0.01879206,0.07457066,0.02246888,-13.99347,135.8753,-303.5683,0.8429415,0.4958237,-0.1126924,0.1758091,,,,,,,
1244.0999999998894,1.2440999999998894,-5.628347,151.10829999999999,-267.0145,-0.9965562,-0.01835154,0.07765542,0.02255544,-13.98792,135.81879999999998,-303.531,0.8411741,0.4981082,-0.1148092,0.1764463,,,,,,,
1258.0999999998994,1.2580999999998994,-5.5966380000000004,151.1007,-266.961,-0.9963353,-0.01795923,0.08054492,0.02249483,-13.96245,135.78289999999998,-303.4802,0.8393014,0.5005049,-0.1160414,0.1777705,,,,,,,
1273.2999999999493,1.2732999999999493,-5.567241,151.0951,-266.9088,-0.996095,-0.01747125,0.08344351,0.02294971,-13.939699999999998,135.7493,-303.4291,0.8374007,0.5028924,-0.1174211,0.1790852,,,,,,,
1285.5999999999312,1.2855999999999312,-5.539119,151.0901,-266.8534,-0.9958342,-0.01710677,0.08643491,0.02346712,-13.887949999999998,135.73010000000002,-303.4196,0.8364046,0.5041158,-0.1176281,0.1801617,,,,,,,
1305.4999999999382,1.3054999999999382,-5.5035,151.0925,-266.7964,-0.995574,-0.01677432,0.08934025,0.02386285,-13.83394,135.76839999999999,-303.4067,0.8361481,0.5041436,-0.1176259,0.1812724,16.933980000000002,98.31395,-281.7971,0.9029807,0.06835844,-0.1519591,-0.3960574
1319.8999999999614,1.3198999999999614,-5.43021,151.1044,-266.6791,-0.9950277,-0.01648319,0.09514999,0.02438566,-13.81273,135.8063,-303.3616,0.8359541,0.5037388,-0.1180859,0.1829855,17.6289,98.58063,-283.35409999999996,0.9100192,0.08803341,-0.1643629,-0.3702703
1342.7999999998974,1.3427999999998974,-5.397129,151.1057,-266.6261,-0.9947624,-0.01688721,0.09796697,0.02377353,-13.77428,135.8733,-303.2698,0.8352096,0.5034406,-0.1194054,0.1863197,18.89766,99.06754,-286.1968,0.9198387,0.1233054,-0.1862529,-0.3224939
1356.6999999999323,1.3566999999999323,-5.365884,151.1058,-266.5741,-0.9945065,-0.01686402,0.1005627,0.02365864,-13.812079999999998,135.84130000000002,-303.17400000000004,0.8352205,0.5052881,-0.1157261,0.1835708,18.73773,103.6335,-286.8652,0.9113611,0.1833315,-0.1572881,-0.3332731
1370.4999999999927,1.3704999999999927,-5.3352829999999996,151.1204,-266.5187,-0.9942752,-0.01677848,0.102876,0.02349313,-13.84486,135.8114,-303.0809,0.8351279,0.5070605,-0.1124389,0.1811311,18.60607,107.8696,-287.5229,0.9000548,0.2386795,-0.1304726,-0.3404563
1385.1999999999407,1.3851999999999407,-5.3059460000000005,151.1323,-266.47020000000003,-0.9940687,-0.01726552,0.1048092,0.02333193,-13.8352,135.8022,-303.0181,0.8356794,0.5098807,-0.1052967,0.1748553,17.99324,111.98429999999999,-288.04470000000003,0.883387,0.3055258,-0.09635803,-0.3420478
