delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,head_rot_w,left_hand_rot_w,right_hand_rot_w
765,32.34425,164.8791,1095.652,0.43220553097816405,0.14419791192675296,-0.6298957557599572,3.663254,120.485,1084.268,-0.30413663658060147,-0.3112521715116955,0.08943802673365828,41.60023,87.20423000000001,1095.8719999999998,0.522530036373573,0.247077989937676,-0.5579164791012357,0.6289965644289643,0.895892756635906,0.5955199663513147
779,32.06806,165.2472,1095.537,0.4262513263082547,0.12177116704366195,-0.6298855604417863,3.53508,120.4933,1084.078,-0.30034689232611994,-0.3098538077176851,0.08226855438660842,41.41216,87.92932,1095.424,0.5210235851191684,0.2254563996000202,-0.5577722415926315,0.6377505550324636,0.8983397169623704,0.6054700340542842
794,31.736760000000004,165.6142,1095.424,0.41812637892201854,0.09693291727452127,-0.6292829264208982,3.409958,120.4973,1083.876,-0.2920639768965943,-0.31014487576322525,0.07031841821759732,41.22887,88.66419,1094.99,0.5195226621828255,0.20201612274791592,-0.5583209454856591,0.6479022606175733,0.9019778874764804,0.614461887719953
807,31.41556,165.91819999999998,1095.258,0.40708882992230266,0.06917566749506651,-0.62787620219952,3.299332,120.5182,1083.651,-0.27976003744949396,-0.3115738675507164,0.0539341506025073,41.04233,89.41305,1094.5600000000002,0.5177998207416779,0.1787527240110009,-0.558544260769269,0.6597460771316566,0.906502704852298,0.622863643232003
821,31.02512,166.2518,1095.134,0.3930105777042429,0.03864683452526588,-0.625174275043707,3.2001500000000003,120.5823,1083.346,-0.2518179227117924,-0.3154560033100047,0.0198941586289845,40.80696,90.2266,1094.097,0.5148860581448107,0.15509949120719835,-0.5582453467435594,0.6732059371524655,0.9147018455372443,0.6318216740461899
834,30.5912,166.59189999999998,1095.018,0.3756412509348185,0.005133745164813519,-0.620803437560021,3.113365,120.7202,1082.97,-0.2076321954510279,-0.3174286984208247,-0.03121203029931452,40.54527,91.03307,1093.606,0.5104809528390103,0.13005647062199413,-0.556759744420565,0.6880918450108013,0.9247452092309763,0.642271825811061
849,30.176160000000003,166.89499999999998,1094.86,0.3559676176222326,-0.02933086048025274,-0.6146041389990087,3.018379,120.9042,1082.568,-0.1621674360896498,-0.31194505973418873,-0.08533511842430762,40.271,91.82881,1093.09,0.5038611717450387,0.10395877818650939,-0.5534222085881062,0.7033409615208878,0.9322606502170153,0.6550117182823124
863,29.72565,167.299,1094.7469999999998,0.33355079791290765,-0.0655420944706942,-0.6055440447086178,2.921677,121.2694,1082.035,-0.11009340368206436,-0.2911108800079678,-0.15082288457249804,39.95132,92.62433,1092.51,0.4939768089629434,0.07845031620277773,-0.5475840621526208,0.7195585514619257,0.9382890575381957,0.6708085829585864
877,29.32129,167.71210000000002,1094.622,0.31146322856510766,-0.09753739339129061,-0.5951619779383707,2.848053,121.6232,1081.605,-0.08958160834110178,-0.27045234802434814,-0.1825964892871542,39.62765,93.39423,1091.903,0.4831493276322288,0.05594277970050446,-0.5399313702760269,0.7343427906357619,0.9410043490840756,0.6869579666906541
891,28.98102,168.1192,1094.478,0.29007952541564697,-0.12388313707435267,-0.5841643372366875,2.853203,121.9778,1081.302,-0.08697417157821076,-0.2576780041245066,-0.19057057792323606,39.2971,94.1581,1091.267,0.4730428217701069,0.03741677624852549,-0.5317493776271693,0.7478361213421506,0.9432499109455025,0.7014792035549313
905,28.58448,168.5576,1094.346,0.2699492509843487,-0.14388213724402285,-0.573538045716029,2.980042,122.3117,1081.122,-0.09584298362750655,-0.2544546451171156,-0.18112076640251865,38.97476,94.9266,1090.596,0.4635402312765599,0.01993725725153972,-0.5239124492302794,0.7599206817762756,0.945125507033571,0.7143169501719031
919,28.16448,168.9937,1094.216,0.25079180074991203,-0.15900342125259626,-0.5633594338359637,3.21846,122.6321,1081.029,-0.11129919463547296,-0.2579041289203158,-0.16011214664656828,38.65089,95.70333,1089.875,0.45205617031951206,-0.00014129670271120776,-0.5152371919458321,0.7710042367034105,0.9462885659541576,0.7281317428508881
935,27.71568,169.373,1094.02,0.23357797768980354,-0.1689771598180884,-0.5535873964077765,3.529358,122.96,1080.98,-0.13204546792757288,-0.2626986521170332,-0.13168514321070796,38.3152,96.48901,1089.103,0.43862479469069193,-0.023153180687324637,-0.505368620269927,0.7812995855218492,0.9466849716950501,0.742748125109097
947,27.21405,169.8179,1093.883,0.21816574933053517,-0.17625167792882512,-0.5438871805546268,3.858376,123.2973,1080.942,-0.15440927170629706,-0.26528212263025175,-0.10237947076758719,37.95052,97.30872,1088.283,0.42060293461876797,-0.04976290536048686,-0.49171260051557286,0.7909018818252102,0.9462037921025616,0.7608124230941398
960,26.74904,170.2752,1093.7530000000002,0.20379635997326548,-0.18157615999245674,-0.5343449982294568,4.145622,123.6472,1080.864,-0.17048729339394475,-0.2634086461169784,-0.08108378928116661,37.573620000000005,98.10266,1087.384,0.4054386561219665,-0.06655012158591048,-0.479797366485526,0.7999828527232337,0.9460313879876475,0.7752322649067621
974,26.31989,170.7026,1093.603,0.19042625963218687,-0.18322177018065813,-0.5253455293668505,4.358101,124.0076,1080.731,-0.18071545684488727,-0.25696356968581857,-0.06833524111633903,37.16431,98.93056,1086.448,0.38655624138877065,-0.08603795379883511,-0.46454710521084647,0.8088137593714789,0.9469117922664375,0.7920654832712499
988,25.82779,171.1866,1093.507,0.1771398875636863,-0.18325551962471623,-0.5166621567661409,4.523468,124.3695,1080.575,-0.1838369263561037,-0.24900492934195825,-0.06275695277499149,36.74202,99.7845,1085.471,0.366324027067273,-0.10520392592842698,-0.4473141351410679,0.8173732871379876,0.9488214239517067,0.8091037669331791
1002,25.34256,171.6394,1093.416,0.16429566223091197,-0.18229249019179877,-0.508601077689954,4.644394,124.70810000000002,1080.409,-0.18122770513731698,-0.24058704457499328,-0.061684757774320365,36.30295,100.6642,1084.46,0.3444144343907848,-0.12392084636418367,-0.4282558454297104,0.8252886326397549,0.9515615500489998,0.8262077535795366
1016,24.79439,172.0954,1093.367,0.15226524567833613,-0.18071083891438877,-0.5010036365038397,4.722023,124.9887,1080.245,-0.17552684679117475,-0.2334381433519078,-0.06360353828193072,35.84709,101.5587,1083.426,0.323268087206093,-0.13942836802044217,-0.4096835343891736,0.8325588530952646,0.9542806448849209,0.841556222504275
1029,24.23782,172.5307,1093.316,0.14103009718316506,-0.1791173638571278,-0.4936186367215704,4.767989999999999,125.1796,1080.0890000000002,-0.17158873610111,-0.22707494051485477,-0.06610737265706225,35.38628,102.4485,1082.36,0.3034496879012839,-0.15231716120442196,-0.3921588618687557,0.839266419639508,0.9563598132051446,0.8549439726514492
1043,23.773,172.9355,1093.221,0.12978154899320052,-0.1783041397652627,-0.4860088950509327,4.795837,125.3171,1079.929,-0.1696905931991105,-0.22162602579989038,-0.06782615162492933,34.907529999999994,103.3692,1081.274,0.2830240111652642,-0.16367723377617324,-0.37399976329533247,0.8456711755847345,0.9578552189259253,0.8678890190008972
1058,23.26088,173.3402,1093.145,0.11951863310398027,-0.17713434895770996,-0.47811592042358897,4.771614,125.3677,1079.756,-0.1691971835880316,-0.21646513492040262,-0.07058138081540746,34.40151,104.32,1080.17,0.2612153359373991,-0.17328321682885456,-0.354693360197183,0.8519060308495231,0.9589230558871552,0.8808700785408637
1072,22.73941,173.7507,1093.091,0.10879103135095297,-0.17618273572686113,-0.46954782878837914,4.713249,125.3675,1079.569,-0.16894768661947418,-0.21106047054586746,-0.07533982005885956,33.87985,105.2854,1079.055,0.23823753624812088,-0.18075778765195188,-0.33444481578463003,0.8582825826087315,0.959809391740039,0.8937092165354356
1085,22.22958,174.1182,1093.055,0.09719582839833746,-0.17531776204636232,-0.4606423105812773,4.619598,125.354,1079.357,-0.16667704736273603,-0.20512499024120012,-0.08349482091228325,33.34007,106.3001,1077.914,0.215470746485453,-0.1872687772126373,-0.3132141669975409,0.8646532917622867,0.9608179406848175,0.9057591556712645
1099,21.67397,174.4969,1093.067,0.08548324365802504,-0.17400663353251594,-0.45206072066545505,4.493141,125.3836,1079.132,-0.16155267441351776,-0.19787060005902626,-0.09268638707768731,32.78961,107.3674,1076.77,0.19293900228285338,-0.19189612048446625,-0.2916997901015958,0.870663776306223,0.9623706108732779,0.91698508864419
1114,21.10538,174.8635,1093.097,0.0734171757503648,-0.1730073381302534,-0.4433478719572922,4.346466,125.4494,1078.921,-0.1557938108317621,-0.19028665157007382,-0.09872872052408325,32.22561,108.4583,1075.616,0.17210270639964692,-0.19439774973760543,-0.27105066940245903,0.8764251500777831,0.9642468140908964,0.9268881852539449
1127,20.58678,175.1948,1093.093,0.06224021371703159,-0.17193858548982643,-0.43458889615737367,4.211426,125.5133,1078.72,-0.15224218702606987,-0.183224497236357,-0.10251834556698475,31.6494,109.5791,1074.4630000000002,0.15279399114923065,-0.19524945433798893,-0.25088955342721375,0.8818706083961134,0.9657852188370929,0.9357275665654506
1141,20.08362,175.5541,1093.121,0.05196301703306161,-0.17080398234382826,-0.42599156651586234,4.060364000000001,125.5485,1078.537,-0.14752141596545904,-0.17907605477414437,-0.10500944720798658,31.07338,110.7363,1073.319,0.13275064350558305,-0.19566535204275481,-0.22993617088836393,0.8869368803548947,0.967027514828377,0.9440453876673703
1155,19.561,175.90730000000002,1093.119,0.042678821360366534,-0.16827124686689893,-0.4177725409671945,3.915787,125.556,1078.357,-0.14420394170917933,-0.17721894689379114,-0.10510697185561572,30.4987,111.9118,1072.187,0.11250402628806619,-0.1947799942464112,-0.20893109529708193,0.8918124296616207,0.9678590767899706,0.9517097221991083
1169,19.0731,176.2492,1093.11,0.03422404920745219,-0.16470143035731255,-0.409801739893291,3.776169,125.5565,1078.164,-0.14329630752767727,-0.17570746118684033,-0.10492578307702533,29.92516,113.0902,1071.061,0.0959255252647554,-0.19208309724030087,-0.1902953465670483,0.8965292450748791,0.9682890252284599,0.9579614075901914
1185,18.55259,176.59050000000002,1093.101,0.02673234112400452,-0.16098047598937099,-0.40222416397973965,3.5873410000000003,125.5163,1077.913,-0.14500414225631478,-0.17597268903056196,-0.10498996752165685,29.33617,114.2988,1069.947,0.08270513603247179,-0.18749821478346876,-0.17416644090200656,0.9008808967888402,0.96797960627467,0.9631564414934837
1197,18.02979,176.9198,1093.09,0.02036736489234195,-0.15727958284758978,-0.3947532275936934,3.37944,125.5093,1077.623,-0.1462325125350959,-0.17360572790145073,-0.10529298683345986,28.73955,115.5102,1068.847,0.06857556949576052,-0.18163491558304592,-0.15791022249097236,0.9049962389816834,0.9681892844073258,0.9681789660710067
