,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w,delta_time_ms
725,-48.528549999999996,206.57800000000003,9.161496,0.02074962,-0.707061,-0.07626794,-0.7027214,-108.693,170.7084,16.175800000000002,0.3690124,0.1426423,0.8651277,-0.3082809,-23.18422,188.6709,-35.84639,-0.5992095,0.2086086,-0.2431977,-0.7336794,626.6666666666667
726,-48.40584,206.7555,9.339255,0.01963103,-0.7064771,-0.08062567,-0.7028543,-107.8344,170.6218,16.6277,0.3547336,0.1291104,0.8730932,-0.3085497,-21.452180000000002,191.9732,-34.718959999999996,-0.6320313,0.2627853,-0.2040604,-0.6998854,640.0
727,-48.34459,207.0118,9.611773,0.01871373,-0.7061464,-0.08359843,-0.7028644,-106.5709,170.3683,16.83016,0.3208061,0.1034293,0.8876455,-0.3138013,-19.78761,195.1287,-33.44173,-0.6576098,0.3130921,-0.1571086,-0.666963,653.3333333333334
728,-48.30983,207.40949999999998,9.93942,0.01723974,-0.7062596,-0.0852297,-0.7025924,-105.101,170.0969,16.957330000000002,0.2890669,0.0711411,0.8934764,-0.3362726,-18.199740000000002,198.111,-32.01605,-0.6755757,0.3641884,-0.1048224,-0.6324371,666.6666666666667
729,-48.2475,207.85420000000002,10.32506,0.0144382,-0.7073186,-0.08724535,-0.7013417,-103.37019999999998,169.8442,16.98737,0.2599615,0.02346921,0.8899565,-0.3739608,-16.704430000000002,200.8527,-30.46337,-0.6892223,0.4051978,-0.04483589,-0.5989799,680.0
730,-48.18165,208.30280000000002,10.74888,0.01104015,-0.7088743,-0.09073144,-0.6993876,-101.4188,169.68,16.964760000000002,0.2293488,-0.03455649,0.879097,-0.4164053,-15.36407,203.34449999999998,-28.72812,-0.7039087,0.43714,0.01574567,-0.5596187,693.3333333333334
731,-48.11218,208.73370000000003,11.24399,0.00761839,-0.7110365,-0.09458979,-0.6967222,-99.3107,169.6583,16.93866,0.1981567,-0.08926103,0.8612367,-0.4593884,-14.104410000000001,205.5129,-26.919140000000002,-0.7160661,0.4652461,0.08175018,-0.5139186,706.6666666666667
732,-47.96948,209.18030000000002,11.7517,0.006488209,-0.7130467,-0.09660335,-0.6943991,-97.03461,169.8657,16.9376,0.1702139,-0.1303503,0.8388597,-0.5003505,-12.94929,207.3254,-25.1983,-0.7160172,0.5001994,0.1469164,-0.464258,720.0
733,-47.96596,209.79139999999998,12.349440000000001,0.006710171,-0.7146149,-0.09536831,-0.6929541,-94.93296,170.2065,17.03744,0.1528678,-0.1532972,0.8211105,-0.5281184,-11.958549999999999,208.7754,-23.691309999999998,-0.698622,0.5410078,0.2132603,-0.4168429,733.3333333333334
734,-47.92733,210.39620000000002,12.998429999999999,0.006889055,-0.7163647,-0.08985844,-0.6918812,-92.99906,170.63060000000002,17.16877,0.1425062,-0.1611395,0.8127065,-0.5415109,-11.209529999999999,209.8084,-22.464290000000002,-0.6711409,0.5730786,0.2861105,-0.3732179,746.6666666666667
