Unnamed: 0,delta_time_ms,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,left_hand_rot_x,left_hand_rot_y,left_hand_rot_z,left_hand_rot_w,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,right_hand_rot_x,right_hand_rot_y,right_hand_rot_z,right_hand_rot_w
5914,700.0000000000073,38.36199999999999,154.0993,-281.461,-0.32063,-0.119414,0.00714,0.93962,23.7796,134.9767,-306.0801,-0.429847,0.3552659999999999,0.265317,-0.7865270000000001,61.37819999999999,119.3014,-321.6512,-0.156676,0.079324,0.144422,-0.973808
5915,711.0000000000073,38.3483,154.166,-281.42990000000003,-0.318298,-0.119498,0.007725,0.940397,23.7619,134.9676,-306.0406,-0.430021,0.355652,0.265599,-0.786162,61.5961,120.02700000000002,-321.4748,-0.167541,0.081902,0.14328,-0.971953
5916,721.0000000000073,38.3386,154.2499,-281.39,-0.315403,-0.11984,0.0083819999999999,0.941323,23.7625,134.9637,-306.0104,-0.430192,0.356089,0.265582,-0.785877,61.8282,120.8236,-321.2986,-0.179241,0.085829,0.138946,-0.970155
5917,733.0000000000073,38.3313,154.34429999999998,-281.3578,-0.312134,-0.120197,0.008994,0.942361,23.75199999999999,134.9618,-305.9739,-0.430439,0.356328,0.265667,-0.785604,62.0185,121.6271,-321.0841,-0.191946,0.0890519999999999,0.130232,-0.968642
5918,744.0000000000073,38.323800000000006,154.4622,-281.3267,-0.308017,-0.1207099999999999,0.009734,0.943642,23.74369999999999,134.9541,-305.9543,-0.43093,0.356228,0.265412,-0.785466,62.188500000000005,122.451,-320.8887,-0.2049659999999999,0.091252,0.121613,-0.966888
5919,755.0000000000073,38.31719999999999,154.5906,-281.2917,-0.303562,-0.1214529999999999,0.010511,0.944981,23.7479,134.9667,-305.9273,-0.431411,0.356338,0.265281,-0.785197,62.285,123.3228,-320.6505,-0.219902,0.091166,0.110019,-0.965001
5920,766.0000000000073,38.3115,154.7353,-281.2524,-0.298627,-0.122226,0.011393,0.946442,23.7581,134.9752,-305.9091,-0.431958,0.356313,0.265238,-0.784922,62.3789,124.1948,-320.40099999999995,-0.235136,0.090946,0.100938,-0.96242
5921,777.0000000000073,38.3046,154.8886,-281.2074,-0.293149,-0.1230859999999999,0.012638,0.948026,23.7731,134.99790000000002,-305.9026,-0.432772,0.356277,0.265421,-0.784428,62.4755,125.1116,-320.1492,-0.251507,0.090783,0.091073,-0.959275
5922,789.0000000000073,38.298100000000005,155.0408,-281.1654,-0.287867,-0.123956,0.0137,0.949516,23.792,135.0215,-305.8854,-0.433688,0.356197,0.265689,-0.783867,62.5091,125.9666,-319.8754,-0.267716,0.089969,0.079554,-0.955984
5923,800.0000000000073,38.2849,155.20200000000003,-281.1105,-0.282273,-0.125093,0.014919,0.951026,23.81889999999999,135.0518,-305.8774,-0.43499,0.356097,0.2660389999999999,-0.783072,62.5148,126.8821,-319.5865,-0.286111,0.089304,0.062877,-0.951952
